model,experiment,epoch,total_epochs,train_loss,val_loss,val_acc,lr
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,1,25,0.7313,0.716,70.86,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,2,25,0.5318,0.5687,76.44,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,3,25,0.4333,0.5746,76.6,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,4,25,0.3584,0.5417,78.32,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,5,25,0.2839,0.5802,78.04,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,6,25,0.2234,0.6525,77.24,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,7,25,0.1671,0.6232,78.12,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,8,25,0.1273,0.6518,78.72,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,9,25,0.1026,0.6332,80.27,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,10,25,0.0784,0.7075,78.92,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,11,25,0.0576,0.7314,79.39,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,12,25,0.059,0.8338,77.16,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,13,25,0.0469,0.7495,79.35,5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,14,25,0.0197,0.8334,79.04,2.5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,15,25,0.0137,0.7998,79.71,2.5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,16,25,0.0148,0.8061,80.15,2.5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,17,25,0.0086,0.8516,80.23,2.5e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,18,25,0.0063,0.8598,79.99,1.25e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,19,25,0.0058,0.8646,80.67,1.25e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,20,25,0.0046,0.8799,80.27,1.25e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,21,25,0.0051,0.8953,79.99,1.25e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,22,25,0.0044,0.9232,79.91,1.25e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,23,25,0.0036,0.9511,78.92,1.25e-05
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,24,25,0.0054,0.9275,80.43,6.25e-06
ConvNeXt-Tiny,convnext_tiny_4state_25ep_b64_lr5e5,25,25,0.0026,0.9439,80.19,6.25e-06
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,1,25,0.9044,0.7739,68.15,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,2,25,0.6438,0.6374,75.33,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,3,25,0.5815,0.6304,74.29,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,4,25,0.5325,0.5763,77.2,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,5,25,0.4927,0.5934,76.25,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,6,25,0.4601,0.5626,77.0,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,7,25,0.4301,0.5774,77.24,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,8,25,0.3922,0.5751,77.64,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,9,25,0.357,0.5933,76.76,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,10,25,0.3264,0.6637,74.49,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,11,25,0.3035,0.5967,77.12,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,12,25,0.2737,0.6108,77.44,3e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,13,25,0.2274,0.6381,76.88,1.5e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,14,25,0.2149,0.6288,77.68,1.5e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,15,25,0.2087,0.6226,78.68,1.5e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,16,25,0.194,0.6151,78.68,1.5e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,17,25,0.1869,0.6247,78.4,1.5e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,18,25,0.1763,0.6454,77.96,1.5e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,19,25,0.1662,0.6665,77.56,1.5e-05
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,20,25,0.1458,0.6541,78.64,7.5e-06
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,21,25,0.1374,0.6577,78.72,7.5e-06
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,22,25,0.1344,0.6658,78.36,7.5e-06
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,23,25,0.1345,0.6827,78.52,7.5e-06
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,24,25,0.1229,0.6787,78.44,7.5e-06
Swin-Tiny,swin_tiny_4state_25ep_b64_lr3e5,25,25,0.1271,0.6895,78.68,7.5e-06
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,1,25,1.3702,1.1292,53.45,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,2,25,0.8368,0.9754,58.31,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,3,25,0.6781,0.795,67.32,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,4,25,0.5802,0.7587,69.31,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,5,25,0.5034,0.7499,70.98,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,6,25,0.4288,0.7911,69.03,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,7,25,0.362,0.8084,70.55,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,8,25,0.2969,0.8319,71.26,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,9,25,0.2382,0.8541,72.74,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,10,25,0.2023,0.8895,71.98,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,11,25,0.1694,0.9013,73.06,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,12,25,0.134,0.9474,73.65,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,13,25,0.1178,1.0434,73.02,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,14,25,0.1134,1.0146,73.58,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,15,25,0.0919,1.0505,74.13,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,16,25,0.0949,1.0159,74.57,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,17,25,0.0828,1.0748,73.18,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,18,25,0.0703,1.1541,74.57,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,19,25,0.0644,1.1174,74.13,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,20,25,0.0607,1.2396,73.61,5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,21,25,0.047,1.1704,74.57,2.5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,22,25,0.0336,1.2574,75.33,2.5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,23,25,0.0325,1.2445,75.01,2.5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,24,25,0.0218,1.2981,74.85,2.5e-05
EfficientNet-B4,efficientnet_b4_4state_25ep_b32_lr5e5,25,25,0.025,1.2874,74.77,2.5e-05
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,1,25,1.5694,1.3149,53.85,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,2,25,0.7672,0.8875,65.44,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,3,25,0.6323,0.7705,70.35,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,4,25,0.5493,0.6294,75.13,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,5,25,0.5097,0.6365,75.25,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,6,25,0.4492,0.6914,73.69,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,7,25,0.4289,0.6515,76.92,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,8,25,0.3642,0.9199,68.87,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,9,25,0.3411,0.8672,72.02,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,10,25,0.3267,0.7967,74.85,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,11,25,0.2858,0.8085,74.45,0.0003
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,12,25,0.1721,0.7771,77.2,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,13,25,0.1281,0.8231,76.96,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,14,25,0.1078,0.9277,76.8,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,15,25,0.0964,0.9132,76.13,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,16,25,0.0892,0.9259,77.4,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,17,25,0.1073,1.0224,76.92,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,18,25,0.0939,1.0386,76.13,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,19,25,0.1087,1.0702,75.85,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,20,25,0.0727,1.1767,76.52,0.00015
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,21,25,0.0554,1.0248,77.64,7.5e-05
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,22,25,0.0331,1.0802,78.68,7.5e-05
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,23,25,0.0298,1.128,78.52,7.5e-05
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,24,25,0.0364,1.124,78.28,7.5e-05
MobileNetV3-Large,mobilenetv3_large_4state_25ep_b64_lr3e4,25,25,0.0353,1.1619,77.64,7.5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,1,25,0.9151,0.7232,70.75,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,2,25,0.6233,0.6533,72.7,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,3,25,0.5252,0.6342,72.94,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,4,25,0.4622,0.5758,76.33,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,5,25,0.3976,0.5545,76.76,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,6,25,0.3326,0.5643,77.88,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,7,25,0.2974,0.6648,75.29,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,8,25,0.2501,0.6087,76.56,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,9,25,0.2161,0.6673,75.89,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,10,25,0.1862,0.6633,77.4,0.0001
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,11,25,0.129,0.6745,78.6,5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,12,25,0.1166,0.7115,77.16,5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,13,25,0.1009,0.7131,77.92,5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,14,25,0.0884,0.7157,78.24,5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,15,25,0.077,0.7775,77.72,5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,16,25,0.0636,0.7659,77.76,2.5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,17,25,0.0572,0.7828,77.92,2.5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,18,25,0.0515,0.7814,77.48,2.5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,19,25,0.0498,0.8174,77.52,2.5e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,20,25,0.0397,0.8132,78.32,1.25e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,21,25,0.042,0.8069,78.36,1.25e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,22,25,0.0416,0.8243,78.88,1.25e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,23,25,0.0396,0.8195,78.04,1.25e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,24,25,0.038,0.8251,79.0,1.25e-05
RegNetY-800MF,regnety_008_4state_25ep_b64_lr1e4,25,25,0.0354,0.8203,78.04,1.25e-05
ResNet50,resnet50_a1_4state_25ep_b64_lr1e4,1,25,1.2719,1.0478,56.28,0.0001
ResNet50,resnet50_a1_4state_25ep_b64_lr1e4,2,25,0.8418,0.8036,67.64,0.0001
ResNet50,resnet50_a1_4state_25ep_b64_lr1e4,3,25,0.6888,0.703,71.5,0.0001
ResNet50,resnet50_a1_4state_25ep_b64_lr1e4,4,25,0.6223,0.6551,73.34,0.0001
ResNet50,resnet50_a1_4state_25ep_b64_lr1e4,5,25,0.574,0.6232,75.21,0.0001
ResNet50,resnet50_a1_4state_25ep_b64_lr1e4,6,25,0.5168,0.629,73.73,0.0001
